,,event,position,timestamp,status,rate
76,33,1,116,450,0,1
76,34,0,116,586,1,1
76,35,1,148,618,0,1
76,36,0,148,623,1,1
76,37,1,149,624,0,1
76,38,0,149,627,1,1
76,39,1,150,628,0,1
76,40,0,150,908,1,1
76,41,1,169,927,0,1
76,42,0,169,932,1,1
76,43,1,170,933,0,1
76,44,0,170,935,1,1
76,45,1,171,936,0,1
76,46,0,171,952,1,1
76,47,1,172,953,0,1
76,48,0,172,987,1,1
76,49,1,176,991,0,1
76,50,0,176,1015,1,1
76,51,1,180,1019,0,1
76,52,0,180,1040,1,1
76,53,1,184,1044,0,1
76,54,0,184,1064,1,1
76,55,1,189,1069,0,1
76,56,0,189,1079,1,1
76,57,1,193,1083,0,1
76,58,0,193,1091,1,1
76,59,1,197,1095,0,1
76,60,0,197,1104,1,1
76,61,1,200,1107,0,1
76,62,0,200,1125,1,1
76,63,1,204,1129,0,1
76,64,0,204,1156,1,1
76,65,1,208,1160,0,1
76,66,0,208,1180,1,1
76,67,1,211,1183,0,1
76,68,0,211,1207,1,1
76,69,1,215,1211,0,1
76,70,0,215,1232,1,1
76,71,1,218,1235,0,1
76,72,0,218,1272,1,1
76,73,1,222,1276,0,1
76,74,0,222,1307,1,1
76,75,1,225,1310,0,1
76,76,0,225,1340,1,1
76,77,1,228,1343,0,1
76,78,0,228,1378,1,1
76,79,1,231,1381,0,1
76,80,0,231,1412,1,1
76,81,1,235,1416,0,1
76,82,0,235,1445,1,1
76,83,1,239,1449,0,1
76,84,0,239,1472,1,1
76,85,1,242,1475,0,1
76,86,0,242,1495,1,1
76,87,1,246,1499,0,1
76,88,0,246,1511,1,1
76,89,1,250,1515,0,1
76,90,0,250,1531,1,1
76,91,1,253,1534,0,1
76,92,0,253,1556,1,1
76,93,1,257,1560,0,1
76,94,0,257,1584,1,1
76,95,1,260,1587,0,1
76,96,0,260,1611,1,1
76,97,1,264,1615,0,1
76,98,0,264,1642,1,1
76,99,1,268,1646,0,1
76,100,0,268,1672,1,1
76,101,1,272,1676,0,1
76,102,0,272,1700,1,1
76,103,1,276,1704,0,1
76,104,0,276,1724,1,1
76,105,1,280,1728,0,1
76,106,0,280,1742,1,1
76,107,1,285,1747,0,1
76,108,0,285,1756,1,1
76,109,1,290,1761,0,1
76,110,0,290,1774,1,1
76,111,1,293,1777,0,1
76,112,0,293,1804,1,1
76,113,1,297,1808,0,1
76,114,0,297,1840,1,1
76,115,1,300,1843,0,1
76,116,0,300,1863,1,1
76,117,1,303,1866,0,1
76,118,0,303,1894,1,1
76,119,1,307,1898,0,1
76,120,0,307,1914,1,1
76,121,1,310,1917,0,1
76,122,0,310,1936,1,1
76,123,1,313,1939,0,1
76,124,0,313,1961,1,1
76,125,1,317,1966,0,1
76,126,0,317,1977,1,1
76,127,1,321,1981,0,1
76,128,0,321,1998,1,1
76,129,1,325,2002,0,1
76,130,0,325,2040,1,1
76,131,1,329,2044,0,1
76,132,0,329,2093,1,1
76,133,1,330,2094,0,1
76,134,0,330,2262,1,1
76,135,1,334,2266,0,1
76,136,0,334,2269,1,1
77,0,0,0,3,1,1
77,1,1,24,27,0,1
77,2,0,24,37,1,1
77,3,2,280,305,1,1
78,0,0,0,2,1,1
78,1,1,318,319,0,1
78,2,0,318,322,1,1
78,3,1,319,323,0,1
78,4,0,319,345,1,1
78,5,1,320,346,0,1
78,6,0,320,397,1,1
78,7,1,322,399,0,1
78,8,0,322,428,1,1
78,9,1,325,431,0,1
78,10,0,325,445,1,1
78,11,1,330,450,0,1
78,12,0,330,461,1,1
78,13,1,335,466,0,1
78,14,0,335,486,1,1
78,15,1,339,490,0,1
78,16,0,339,500,1,1
78,17,1,342,503,0,1
78,18,0,342,510,1,1
78,19,1,374,541,0,1
78,20,0,374,582,1,1
78,21,1,381,589,0,1
78,22,0,381,595,1,1
78,23,1,387,601,0,1
78,24,0,387,609,1,1
78,25,1,399,621,0,1
78,26,0,399,626,1,1
78,27,1,405,632,0,1
78,28,0,405,636,1,1
78,29,1,457,688,0,1
78,30,0,457,690,1,1
79,0,0,0,1,1,1
79,1,2,341,349,1,1
80,0,0,0,2,1,1
80,1,1,62,63,0,1
80,2,0,62,65,1,1
80,3,2,53,79,1,1
80,4,2,59,94,1,1
80,5,1,62,97,0,1
80,6,0,62,140,1,1
80,7,1,131,209,0,1
80,8,0,131,255,1,1
80,9,2,180,318,1,1
80,10,2,270,431,1,1
80,11,2,309,481,1,1
80,12,1,309,481,0,1
80,13,0,309,534,1,1
80,14,1,341,566,0,1
80,15,0,341,718,1,1
80,16,1,404,780,0,1
80,17,0,404,845,1,1
80,18,1,471,912,0,1
80,19,0,471,996,1,1
81,0,0,0,2,1,1
81,1,1,33,34,0,1
81,2,0,33,556,1,1
81,3,1,155,677,0,1
81,4,0,155,832,1,1
81,5,2,283,968,1,1
81,6,1,284,970,0,1
81,7,0,284,988,1,1
81,8,2,296,1005,1,1
81,9,1,296,1005,0,1
81,10,0,296,1024,1,1
81,11,2,334,1065,1,1
81,12,1,334,1065,0,1
81,13,0,334,1173,1,1
81,14,2,395,1241,1,1
81,15,1,396,1243,0,1
81,16,0,396,1262,1,1
81,17,1,424,1290,0,1
81,18,0,424,1332,1,1
82,0,0,0,2,1,1
83,0,0,0,11,1,1
84,0,0,0,2,1,1
85,0,0,0,1,1,1
85,1,1,408,408,0,1
85,2,0,408,433,1,1
86,0,0,0,3,1,1
86,1,2,15,23,1,1
86,2,2,333,346,1,1
87,0,0,0,3,1,1
88,0,0,0,1,1,1
89,0,0,0,1,1,1
94,0,0,0,1,1,1
96,0,0,0,3,1,1
96,1,1,1,4,0,1
96,2,0,1,6,1,1
96,3,1,16,21,0,1
96,4,0,16,24,1,1
96,5,2,11,35,1,1
96,6,2,269,303,1,1
96,7,2,284,324,1,1
96,8,1,381,420,0,1
96,9,0,381,425,1,1
97,0,0,0,1,1,1
97,1,1,56,57,0,1
97,2,0,56,74,1,1
97,3,1,122,140,0,1
97,4,0,122,211,1,1
97,5,2,122,216,1,1
97,6,3,270,348,1,1
97,7,2,384,471,1,1
98,0,0,0,1,1,1
98,1,3,15,7,1,1
98,2,1,15,7,0,1
98,3,0,15,9,1,1
98,4,1,17,11,0,1
98,5,0,17,14,1,1
98,6,1,19,16,0,1
98,7,0,19,26,1,1
98,8,1,23,30,0,1
98,9,0,23,43,1,1
98,10,1,28,48,0,1
98,11,0,28,58,1,1
98,12,1,31,61,0,1
98,13,0,31,77,1,1
98,14,1,34,80,0,1
98,15,0,34,85,1,1
98,16,2,235,310,1,1
98,17,1,235,310,0,1
98,18,0,235,313,1,1
100,0,0,0,1,1,1
101,0,0,0,1,1,1
101,1,3,17,3,1,1
101,2,1,310,297,0,1
101,3,0,310,304,1,1
