,,event,position,timestamp,status,rate
33,9,1,310,444,0,1
34,0,0,0,2,1,1
35,0,0,0,3,1,1
36,0,0,0,1,1,1
36,1,0,69,2173,1,1
36,2,2,145,2272,1,1
36,3,2,150,2289,1,1
36,4,1,208,2360,0,1
36,5,0,208,2594,1,1
36,6,1,225,2617,0,1
36,7,0,225,2643,1,1
36,8,2,249,2673,1,1
36,9,1,253,2678,0,1
36,10,1,255,2701,0,1
36,11,0,255,3855,1,1
36,12,2,257,3861,1,1
36,13,2,281,3895,1,1
36,14,1,302,3916,0,1
36,15,0,302,4651,1,1
36,16,2,371,4730,1,1
37,0,0,0,1,1,1
37,1,0,199,204,1,1
38,0,0,0,1,1,1
38,1,0,12,64,1,1
38,2,0,36,268,1,1
38,3,0,73,313,1,1
38,4,2,60,322,1,1
38,5,2,45,326,1,1
38,6,3,67,330,1,1
38,7,0,87,362,1,1
38,8,0,110,394,1,1
38,9,2,154,445,1,1
38,10,0,154,456,1,1
38,11,0,253,561,1,1
38,12,0,366,680,1,1
39,0,0,0,2,1,1
39,1,0,167,643,1,1
39,2,3,236,722,1,1
40,0,0,0,2,1,1
40,1,2,46,70,1,1
40,2,1,63,83,0,1
40,3,0,63,131,1,1
40,4,2,63,138,1,1
40,5,0,82,159,1,1
40,6,2,324,408,1,1
41,0,3,288,2,-1,1
42,0,0,0,1,1,1.0
42,1,0,12,21,1,1.0
42,2,0,24,39,1,1.0
42,3,0,26,263,1,1.0
42,4,0,39,283,1,1.0
42,5,1,40,284,0,1.0
42,6,0,40,318,1,1.0
42,7,1,83,361,0,1.0
42,8,0,83,405,1,1.0
42,9,1,124,445,0,1.0
42,10,1,121,448,0,1.0
42,11,0,121,454,1,1.0
42,12,2,154,492,1,1.0
42,13,1,154,494,0,1.0
42,14,2,148,497,0,1.0
42,15,1,153,501,0,1.0
42,16,0,153,507,1,1.0
42,17,1,160,517,0,1.0
42,18,0,160,522,1,1.0
42,19,4,164,527,1,1.25
42,20,2,222,625,1,1.0
42,21,1,227,628,0,1.0
42,22,0,227,630,1,1.0
42,23,2,244,660,1,1.0
42,24,2,240,664,1,1.0
42,25,1,236,666,0,1.0
42,26,2,221,670,0,1.0
42,27,2,210,673,0,1.0
42,28,3,221,676,0,1.0
42,29,0,227,686,1,1.0
42,30,1,228,687,0,1.0
42,31,3,232,690,0,1.0
42,32,0,236,695,1,1.0
42,33,1,239,698,0,1.0
42,34,3,245,708,1,1.0
42,35,1,245,708,0,1.0
42,36,1,249,711,0,1.0
42,37,0,249,713,1,1.0
42,38,1,276,740,0,1.0
42,39,0,276,746,1,1.0
42,40,1,288,762,0,1.0
42,41,1,289,765,0,1.0
42,42,0,205,771,1,1.0
42,43,6,228,623,1,1.0
43,0,0,0,2,1,1
43,1,2,68,79,1,1
43,2,3,75,87,1,1
44,0,3,194,134,-1,1.0
44,1,3,222,142,-1,1.0
44,2,0,0,1,1,1.0
44,3,4,32,34,1,1.5
45,0,0,0,1,1,1.0
45,1,4,73,70,1,1.5
46,0,0,405,384,1,1.0
46,1,2,400,387,1,1.0
46,2,0,0,394,1,1.0
46,3,1,19,27,0,1.0
46,4,3,26,30,0,1.0
46,5,2,65,75,0,1.0
46,6,4,235,247,0,1.25
47,0,1,15,15,0,1.0
47,1,0,15,30,1,1.0
47,2,2,52,63,1,1.0
47,3,2,47,69,1,1.0
47,4,1,53,77,0,1.0
47,5,1,54,80,0,1.0
47,6,0,0,85,1,1.0
47,7,4,5,9,1,1.5
48,0,0,0,1,1,1
49,0,0,0,1,1,1
49,1,2,154,108,1,1
49,2,0,155,112,1,1
49,3,2,251,181,1,1
49,4,0,251,187,1,1
50,0,0,0,3,1,1.0
50,1,4,46,50,1,1.25
51,0,0,0,1,1,1
52,0,0,0,1,1,1
52,1,0,4,10,1,1
52,2,0,6,31,1,1
53,0,0,0,1,1,1
53,1,0,208,571,1,1
53,2,0,245,1114,1,1
54,0,0,0,1,1,1
55,0,2,384,360,-1,1.0
55,1,2,344,364,-1,1.0
55,2,0,0,2,1,1.0
55,3,4,144,146,1,1.25
56,0,0,0,1,1,1
57,0,0,0,1,1,1
58,0,0,0,1,1,1
59,0,0,0,2,1,1
60,0,0,0,1,1,1
61,0,0,0,3,1,1
61,1,2,206,224,1,1
62,0,0,0,1,1,1.0
62,1,1,44,40,0,1.0
62,2,0,44,43,1,1.0
62,3,6,49,49,1,1.0
62,4,5,231,230,1,0.5
62,5,2,220,238,1,1.0
62,6,2,247,279,1,1.0
62,7,1,249,283,0,1.0
62,8,6,234,236,1,1.0
63,0,0,0,3,1,1
64,0,0,0,2,1,1
65,0,1,5,5,0,1
65,1,0,5,40,1,1
65,2,1,17,52,0,1
65,3,0,17,107,1,1
65,4,1,75,165,0,1
65,5,0,75,184,1,1
65,6,1,79,188,0,1
65,7,0,79,223,1,1
65,8,1,135,279,0,1
65,9,1,137,292,0,1
65,10,0,137,328,1,1
65,11,1,178,368,0,1
65,12,0,178,389,1,1
66,0,0,0,5,1,1
66,1,0,16,32,1,1
67,0,0,0,8,1,1
67,1,0,2,13,1,1
67,2,0,5,20,1,1
67,3,0,30,48,1,1
67,4,0,40,61,1,1
67,5,3,210,557,1,1
67,6,3,228,562,1,1
67,7,3,247,569,1,1
68,0,0,1,37,1,1
68,1,0,2,44,1,1
68,2,1,8,48,0,1
68,3,1,10,54,0,1
68,4,0,10,58,1,1
68,5,0,15,65,1,1
68,6,1,18,68,0,1
68,7,0,18,74,1,1
68,8,1,27,83,0,1
68,9,0,27,88,1,1
68,10,1,34,95,0,1
68,11,0,34,98,1,1
68,12,1,54,118,0,1
68,13,0,54,121,1,1
68,14,1,57,124,0,1
68,15,0,57,183,1,1
68,16,1,122,248,0,1
68,17,0,122,291,1,1
68,18,1,126,297,0,1
68,19,0,126,300,1,1
68,20,1,129,303,0,1
68,21,0,129,309,1,1
68,22,1,137,317,0,1
68,23,0,137,324,1,1
68,24,1,147,334,0,1
68,25,0,147,337,1,1
68,26,1,155,345,0,1
68,27,0,155,351,1,1
68,28,1,162,358,0,1
68,29,0,162,404,1,1
68,30,1,229,471,0,1
68,31,0,229,513,1,1
68,32,1,310,593,0,1
68,33,0,310,596,1,1
68,34,0,312,601,1,1
68,35,1,371,659,0,1
68,36,0,371,664,1,1
68,37,1,391,683,0,1
68,38,0,391,686,1,1
68,39,1,412,707,0,1
68,40,0,412,756,1,1
69,0,0,0,1,1,1
69,1,0,36,40,1,1
69,2,0,38,45,1,1
69,3,2,33,55,1,1
69,4,2,47,84,1,1
69,5,3,48,87,1,1
70,0,0,0,3,1,1
70,1,0,3,10,1,1
70,2,0,303,324,1,1
70,3,1,304,325,0,1
70,4,0,304,329,1,1
71,0,0,0,1,1,1
72,0,0,0,1,1,1
73,0,0,0,1,1,1
74,0,0,0,1,1,1
75,0,0,0,2,1,1
76,0,0,0,1,1,1
76,1,0,251,253,1,1
77,0,0,0,2,1,1
78,0,0,0,2,1,1
78,1,0,61,76,1,1
